district_id,Latitude,Longitude,District
1,33.40743947,72.39115291,Attock
1,33.27170042,72.12173148,Attock
1,33.67542868,72.66720769,Attock
1,33.76492817,72.50501268,Attock
1,33.72182995,72.57169103,Attock
1,33.43059891,72.09466499,Attock
1,33.30864421,71.97624461,Attock
1,33.88915876,72.7194445,Attock
2,30.25747827,73.67574411,Bahawalnagar
2,29.96188014,73.35562615,Bahawalnagar
2,29.89564946,73.34368993,Bahawalnagar
2,29.38977675,72.99057927,Bahawalnagar
2,29.55505568,72.97438215,Bahawalnagar
2,29.08648636,72.4937975,Bahawalnagar
2,29.29947982,72.80619245,Bahawalnagar
2,29.86681813,72.72405887,Bahawalnagar
2,29.19464077,72.53370382,Bahawalnagar
3,28.81551741,72.24841983,Bahawalpur
3,28.64297043,72.03734716,Bahawalpur
3,28.44744275,72.21508098,Bahawalpur
3,28.24272495,71.67944929,Bahawalpur
3,28.88721932,71.7679128,Bahawalpur
3,27.8894167,71.37526358,Bahawalpur
3,29.34609351,71.18890231,Bahawalpur
3,28.87298542,71.89164248,Bahawalpur
3,28.13149732,71.48704298,Bahawalpur
3,28.30151476,72.10666072,Bahawalpur
3,28.55267317,71.95845481,Bahawalpur
3,28.74129874,72.36969891,Bahawalpur
3,28.8693958,71.90090545,Bahawalpur
3,28.98151672,71.78794192,Bahawalpur
3,29.21569736,71.36062925,Bahawalpur
3,28.81105957,71.34578996,Bahawalpur
3,29.59451798,72.24697154,Bahawalpur
3,29.61116778,72.65925267,Bahawalpur
3,28.76491844,71.57531958,Bahawalpur
3,28.42409883,71.21568832,Bahawalpur
3,28.51027888,71.80680689,Bahawalpur
3,28.89834541,72.27086764,Bahawalpur
3,28.87409167,71.49551561,Bahawalpur
3,28.4007213,71.13467412,Bahawalpur
3,29.09225629,71.47714695,Bahawalpur
3,29.18831355,71.4354414,Bahawalpur
3,28.82131974,71.67302472,Bahawalpur
3,28.90505103,71.78432061,Bahawalpur
3,28.8454637,71.13903487,Bahawalpur
3,29.14966257,71.31449493,Bahawalpur
3,29.37939716,72.2036101,Bahawalpur
3,28.38970426,71.76013746,Bahawalpur
3,28.52140153,71.50239899,Bahawalpur
3,28.47409517,71.65633116,Bahawalpur
3,29.48098809,72.06804413,Bahawalpur
3,28.5632409,72.15984726,Bahawalpur
3,29.25620001,71.82070567,Bahawalpur
3,29.2519132,70.98331997,Bahawalpur
4,31.3571646,71.32958628,Bhakkar
4,32.08345347,71.47040214,Bhakkar
4,31.61949154,70.89446862,Bhakkar
4,31.61026853,70.98856122,Bhakkar
4,31.82393947,71.38861345,Bhakkar
4,32.01063975,71.22045684,Bhakkar
4,31.82545035,71.38240435,Bhakkar
4,31.79910462,71.10524571,Bhakkar
4,31.98687168,71.24486727,Bhakkar
4,31.4846545,71.4472868,Bhakkar
4,32.00184088,71.56616487,Bhakkar
5,32.95531203,73.03416126,Chakwal
5,32.81206572,72.44691981,Chakwal
5,33.14849503,72.69290934,Chakwal
5,33.08938504,72.54120755,Chakwal
5,32.6996623,72.92630944,Chakwal
5,32.99423945,72.40722455,Chakwal
5,32.63976108,71.89520408,Chakwal
5,32.67446595,72.81776965,Chakwal
5,32.94606812,73.15974967,Chakwal
5,33.11737026,72.09015838,Chakwal
6,31.9027348,73.01167741,Chiniot
6,31.58547317,72.64081346,Chiniot
6,31.74578375,73.05094262,Chiniot
6,31.45065114,72.82349654,Chiniot
7,30.39985067,70.43184965,Dera Ghazi Khan
7,31.16003119,70.35815603,Dera Ghazi Khan
7,30.65122297,70.47283679,Dera Ghazi Khan
7,29.74082644,70.74513498,Dera Ghazi Khan
7,31.00623807,70.33490064,Dera Ghazi Khan
7,30.27205769,70.200715,Dera Ghazi Khan
7,30.30144411,70.16241452,Dera Ghazi Khan
7,30.70910656,70.20227764,Dera Ghazi Khan
7,31.00375967,70.51075788,Dera Ghazi Khan
7,30.03782001,70.65798832,Dera Ghazi Khan
7,30.49834121,70.44942938,Dera Ghazi Khan
7,30.08380822,70.51688855,Dera Ghazi Khan
7,30.97167267,70.26304673,Dera Ghazi Khan
7,31.14534767,70.38718445,Dera Ghazi Khan
7,31.04348374,70.75597674,Dera Ghazi Khan
7,30.20320317,70.70798404,Dera Ghazi Khan
7,30.06103763,70.24906406,Dera Ghazi Khan
7,30.65789068,70.64962206,Dera Ghazi Khan
8,30.94376343,73.09344812,Faisalabad
8,30.88999449,72.71866243,Faisalabad
8,31.26732797,73.50472284,Faisalabad
8,31.1273428,72.86134542,Faisalabad
8,31.41784993,72.84831358,Faisalabad
8,30.85391297,72.72827119,Faisalabad
8,31.51122912,72.95838338,Faisalabad
9,32.21772657,73.86760707,Gujranwala
9,32.31215193,73.88564977,Gujranwala
9,32.24893185,74.15705122,Gujranwala
9,31.99824767,74.28470992,Gujranwala
10,32.69451808,74.22052669,Gujrat
10,32.80458652,74.15362768,Gujrat
10,32.71279284,73.89758536,Gujrat
10,32.83551012,74.01558893,Gujrat
11,32.04680372,73.51428356,Hafizabad
11,31.98343692,73.48331011,Hafizabad
11,32.17747101,73.75628481,Hafizabad
11,32.07328082,73.31457074,Hafizabad
12,31.39242555,72.60367391,Jhang
12,30.95274508,72.09687629,Jhang
12,31.50343566,72.38246159,Jhang
12,31.22979746,72.41241481,Jhang
12,30.95009929,71.96590266,Jhang
12,30.99166473,72.24754414,Jhang
12,30.98193793,71.84428475,Jhang
12,31.61961197,72.14254362,Jhang
12,30.82407583,72.17895651,Jhang
12,31.65543785,72.12962551,Jhang
12,30.86073746,71.86190606,Jhang
12,31.66138886,72.18640045,Jhang
13,33.06550061,73.7190959,Jhelum
13,32.81611483,73.55749828,Jhelum
14,31.16242037,73.74807463,Kasur
14,31.07674758,73.83444338,Kasur
14,31.10571885,74.00491672,Kasur
14,31.05641534,74.28636264,Kasur
15,30.48091031,72.00241639,Khanewal
15,30.53038466,71.97477153,Khanewal
15,30.09648331,71.92110084,Khanewal
15,30.48422135,71.93903829,Khanewal
15,30.71575736,72.0301961,Khanewal
15,30.3929114,71.82118192,Khanewal
15,30.20698948,71.95387357,Khanewal
15,30.38057919,72.20582001,Khanewal
15,30.47382378,72.0614929,Khanewal
16,32.03010021,71.8792103,Khushab
16,31.81692917,71.75713518,Khushab
16,31.7334643,71.80170689,Khushab
16,31.89683409,72.11151682,Khushab
16,32.01753804,72.21315019,Khushab
16,32.39312501,72.48580703,Khushab
16,32.31801225,72.10831269,Khushab
16,32.44535043,71.94704323,Khushab
16,32.47151086,72.06174579,Khushab
16,32.11493465,71.77886322,Khushab
16,32.29145045,71.81007901,Khushab
16,31.79111122,71.73476041,Khushab
16,32.19485934,72.02056297,Khushab
17,31.45996436,74.20042927,Lahore
17,31.36437256,74.1256811,Lahore
17,31.49695835,74.22120699,Lahore
18,30.87229426,71.02592342,Layyah
18,31.0152943,71.31794921,Layyah
18,30.66748912,70.82410602,Layyah
18,30.61286125,71.59223119,Layyah
18,31.07500006,70.97767996,Layyah
18,30.86666013,71.5954249,Layyah
18,30.70191373,71.05808291,Layyah
18,30.86985294,71.39321217,Layyah
18,31.17974158,71.30345726,Layyah
18,30.8506531,70.79998044,Layyah
18,31.26313237,71.18819749,Layyah
18,31.16331748,71.70603491,Layyah
19,29.5170447,71.93602712,Lodhran
19,29.59442582,71.43677504,Lodhran
19,29.6041475,71.98976133,Lodhran
19,29.81394317,71.63834993,Lodhran
19,29.86703247,71.92926528,Lodhran
19,29.64176765,72.05578468,Lodhran
20,32.29100024,73.46744888,Mandi Bahuddin
20,32.51645252,73.74976321,Mandi Bahuddin
20,32.59921911,73.68429643,Mandi Bahuddin
20,32.53956262,73.45681327,Mandi Bahuddin
21,32.25898909,71.55312718,Mianwali
21,32.25460689,71.68996772,Mianwali
21,32.93194279,71.39452302,Mianwali
21,32.51816984,71.73626997,Mianwali
21,32.74570534,71.35365792,Mianwali
21,32.79847801,71.27538506,Mianwali
21,32.22455444,71.32221736,Mianwali
22,29.63356117,71.35306582,Multan
22,30.28199055,71.63414753,Multan
22,29.42447704,71.32691345,Multan
22,29.69698154,71.2561195,Multan
23,30.35622304,71.25495413,Muzaffargarh
23,30.42344923,70.96277687,Muzaffargarh
23,30.51679774,70.87123237,Muzaffargarh
23,30.67357296,71.30920424,Muzaffargarh
23,29.73970933,70.84598107,Muzaffargarh
23,29.09378181,70.66217422,Muzaffargarh
23,29.39213808,70.80998086,Muzaffargarh
23,29.89174531,70.90322174,Muzaffargarh
23,29.28416258,70.859789,Muzaffargarh
23,29.13241241,70.57980734,Muzaffargarh
23,29.81037524,71.16417949,Muzaffargarh
23,29.34949583,70.64604938,Muzaffargarh
23,30.46751884,71.47862879,Muzaffargarh
24,31.2758111,73.84972669,Nankana Sahib
24,31.2854302,73.7357092,Nankana Sahib
25,32.30909375,74.97833549,Narowal
25,32.32214881,74.88720163,Narowal
25,32.03590197,74.76494813,Narowal
26,30.45522917,73.92633789,Okara
26,30.63948928,73.5561202,Okara
26,30.55622915,73.51343248,Okara
26,30.9649258,73.56374845,Okara
26,30.7881303,73.96029352,Okara
26,30.58650755,74.01973126,Okara
26,30.53988038,74.02951379,Okara
27,30.37997755,72.96043929,Pakpattan
27,30.32633834,73.00564892,Pakpattan
27,30.47684348,73.16063708,Pakpattan
28,28.28756538,69.66690763,Rahim Yar Khan
28,28.58736877,70.51816841,Rahim Yar Khan
28,28.68461251,70.22168,Rahim Yar Khan
28,28.14445085,70.06998179,Rahim Yar Khan
28,27.93870841,70.7066141,Rahim Yar Khan
28,28.36615135,70.88620106,Rahim Yar Khan
28,28.79823577,71.0032155,Rahim Yar Khan
28,28.05269959,70.76158656,Rahim Yar Khan
28,28.64960174,70.78144575,Rahim Yar Khan
28,28.16078587,70.10942009,Rahim Yar Khan
28,28.18256167,69.98203305,Rahim Yar Khan
28,28.32787247,70.81346106,Rahim Yar Khan
28,28.72021057,70.82043629,Rahim Yar Khan
28,28.15965649,70.69671572,Rahim Yar Khan
28,28.74891024,70.46670009,Rahim Yar Khan
28,28.05917077,70.47201177,Rahim Yar Khan
29,28.54565708,69.92203038,Rajanpur
29,29.00906865,69.98933773,Rajanpur
29,29.2080379,70.42693494,Rajanpur
29,29.12524014,70.49864831,Rajanpur
29,29.15303096,69.88735722,Rajanpur
29,29.49156673,70.55111673,Rajanpur
29,29.49653978,69.9715934,Rajanpur
29,29.17650972,69.75756151,Rajanpur
29,28.65853046,69.5492176,Rajanpur
29,28.83060786,70.32776887,Rajanpur
30,33.27189873,73.18823821,Rawalpindi
30,33.38705039,73.46507409,Rawalpindi
30,33.61052736,73.09923211,Rawalpindi
30,33.78853684,73.25949767,Rawalpindi
30,33.25668978,73.29347203,Rawalpindi
30,33.44929141,73.57639387,Rawalpindi
30,33.66913784,72.81527161,Rawalpindi
30,33.59105054,73.59563527,Rawalpindi
30,33.08695443,73.12017147,Rawalpindi
31,30.59250289,73.19230295,Sahiwal
31,30.24718397,72.48952547,Sahiwal
31,30.69440407,72.85204543,Sahiwal
31,30.47037252,72.59672316,Sahiwal
31,30.78562701,73.28218299,Sahiwal
31,30.58258812,72.83172767,Sahiwal
31,30.66082221,73.24827912,Sahiwal
32,32.07969982,72.79488246,Sargodha
32,32.27557571,73.12265161,Sargodha
32,32.24558298,72.3572651,Sargodha
32,32.32618693,72.95573533,Sargodha
32,32.35009817,72.4972284,Sargodha
32,32.10308045,72.34802315,Sargodha
32,32.45834015,72.89013575,Sargodha
32,31.87801853,72.90268709,Sargodha
32,32.33816864,72.64825137,Sargodha
32,32.28890953,72.84375606,Sargodha
32,31.71219379,72.44157179,Sargodha
33,31.62965649,74.22884509,Sheikhupura
33,31.91460109,73.73684514,Sheikhupura
33,31.7632047,73.81352406,Sheikhupura
33,31.94567774,73.79650855,Sheikhupura
33,31.74222129,74.47462927,Sheikhupura
33,31.61854231,73.9868746,Sheikhupura
33,31.58499767,73.65070295,Sheikhupura
33,31.86864923,74.58052686,Sheikhupura
34,32.36153073,74.69950231,Sialkot
34,32.26844827,74.55349653,Sialkot
34,32.12566825,74.57804205,Sialkot
34,32.52625084,74.50359637,Sialkot
34,32.62816808,74.43181632,Sialkot
34,32.50401516,74.60185874,Sialkot
34,32.48310036,74.27347278,Sialkot
34,32.59201738,74.39165264,Sialkot
34,32.55650122,74.66991288,Sialkot
34,32.35281431,74.55169937,Sialkot
35,30.7661826,72.67495265,Toba Tek Singh
35,31.0483392,72.43386344,Toba Tek Singh
35,30.78274039,72.44407223,Toba Tek Singh
36,30.04460627,72.26413678,Vehari
36,29.97370111,71.8936409,Vehari
36,29.80778889,72.03306674,Vehari
36,30.06623276,72.53002316,Vehari
36,29.97956355,72.0593373,Vehari
